origin_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.6500000000000001,0.8066826657972621
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.7000000000000001,0.8528814181286031
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.7500000000000001,0.8986768278761893
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.8,1.015654480319758
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.8500000000000001,1.0942194092387203
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.9000000000000001,1.3699375598368388
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.95,1.8128705250347947
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.975,2.1789244872687688
2016-05-14,2016-06-04,3,HHS Region 1,ili perc,quantile,0.99,3.0578166794475887
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.01,0
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.025,0
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.05,0
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.1,0
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.15000000000000002,0
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.2,0.08687046881433745
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.25,0.3004610188143374
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.3,0.41060101848861735
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.35000000000000003,0.4828360951040084
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.4,0.5659102688143374
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.45,0.6357006688143373
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.5,0.6973362688143374
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.55,0.7449691188143375
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.6000000000000001,0.8140085586794263
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.6500000000000001,0.8929702849527295
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.7000000000000001,0.9759502333268572
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.7500000000000001,1.0621398229114407
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.8,1.2022828688143374
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.8500000000000001,1.4550339551213838
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.9000000000000001,1.9886730168422075
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.95,2.725994532499437
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.975,3.295615061055643
2016-05-14,2016-05-21,1,HHS Region 10,ili perc,quantile,0.99,6.155282176616388
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.01,0
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.025,0
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.05,0
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.1,0
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.15000000000000002,0
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.2,0.06560426881433752
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.25,0.25802126881433735
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.3,0.3950869251099172
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.35000000000000003,0.47682786893441625
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.4,0.5322350362445483
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.45,0.6338242688143374
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.5,0.6759487688143373
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.55,0.7340792688143374
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.6000000000000001,0.8055490688143376
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.6500000000000001,0.8815032398410674
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.7000000000000001,0.9687524335704208
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.7500000000000001,1.1095866882976484
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.8,1.1959250158530186
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.8500000000000001,1.5038445175919533
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.9000000000000001,1.8676362688143375
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.95,2.5277229351680006
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.975,3.1714408514715062
2016-05-14,2016-05-28,2,HHS Region 10,ili perc,quantile,0.99,4.883596085386638
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.01,0
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.025,0
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.05,0
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.1,0
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.15000000000000002,0
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.2,0
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.25,0.09942412613287692
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.3,0.31747952477571834
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.35000000000000003,0.3820919251099173
